name,ring,quadrant,isNew,description
Scrum,adopt,techniques,FALSE,
Peer review,adopt,techniques,FALSE,
Pairing,adopt,techniques,TRUE,
DevEx,adopt,techniques,FALSE,
Architectural Friday,adopt,techniques,FALSE,
Polyrepo,adopt,techniques,FALSE,
3+1 solutions,adopt,techniques,FALSE,
Markdown,adopt,tools,FALSE,
ReSharper,adopt,tools,FALSE,
YAML Pipelines,adopt,tools,FALSE,
Swagger UI,adopt,tools,FALSE,
Terraform,adopt,tools,TRUE,
Microsoft Teams,adopt,tools,FALSE,
Git,adopt,tools,FALSE,
Visual Studio,adopt,tools,FALSE,
Visual Studio Code,adopt,tools,FALSE,
Octopus,adopt,platforms,FALSE,
Azure App Services,adopt,platforms,FALSE,
Azure DevOps Services,adopt,platforms,FALSE,
MS SQL,adopt,platforms,FALSE,
Azure Service Bus,adopt,platforms,FALSE,
SEQ,adopt,platforms,FALSE,
.NET Standard,adopt,platforms,FALSE,
ASP.NET Core,adopt,platforms,FALSE,
MongoDB,adopt,platforms,FALSE,
xUnit,adopt,languages & frameworks,FALSE,
Angular,adopt,languages & frameworks,FALSE,
DDD tactical,adopt,languages & frameworks,TRUE,
NEventStore,adopt,languages & frameworks,FALSE,
NServiceBus,adopt,languages & frameworks,FALSE,
Quartz,adopt,languages & frameworks,FALSE,
Topshelf,adopt,languages & frameworks,TRUE,
Open API Spec,adopt,languages & frameworks,FALSE,
C#,adopt,languages & frameworks,FALSE,
NHibernate,adopt,languages & frameworks,FALSE,
Typescript,adopt,languages & frameworks,FALSE,
Autofac,adopt,languages & frameworks,FALSE,
Event Storming,trial,techniques,FALSE,
Fitness Functions,trial,techniques,FALSE,
DDD strategical,trial,techniques,TRUE,
Context Mapping,trial,techniques,FALSE,
Visual Studio 2019,trial,tools,TRUE,
Grafana,trial,platforms,TRUE,
Application Insights,trial,platforms,FALSE,
CosmosDB,trial,platforms,FALSE,
NgRx,trial,languages & frameworks,TRUE,
.NET core Injection,trial,languages & frameworks,TRUE,
C# 8,trial,languages & frameworks,TRUE,
Impact mapping,assess,techniques,TRUE,
User story mapping,assess,techniques,TRUE,
Azure Data Studio,assess,tools,TRUE,
Octopus cloud,assess,platforms,TRUE,
Azure Managed SQL,assess,platforms,TRUE,
TFVC,hold,tools,FALSE,
ASP.NET MVC,hold,platforms,FALSE,
Docker,hold,platforms,FALSE,
DevOps Release Pipeline,hold,platforms,FALSE,
Kubernetes,hold,platforms,FALSE,
.NET Framework,hold,platforms,FALSE,
VM,hold,platforms,FALSE,
MSTest,hold,languages & frameworks,FALSE,
AngularJS,hold,languages & frameworks,FALSE,
Entity Framework,hold,languages & frameworks,FALSE,
