name,ring,quadrant,isNew,description
Scrum,adopt,techniques,TRUE,
Peer review,adopt,techniques,TRUE,
3+1 solutions,adopt,techniques,TRUE,
Markdown,adopt,tools,TRUE,
ReSharper,adopt,tools,TRUE,
Git,adopt,tools,TRUE,
Visual Studio,adopt,tools,TRUE,
npm,adopt,tools,TRUE,
Visual Studio Code,adopt,tools,TRUE,
Octopus,adopt,platforms,TRUE,
Azure DevOps Services,adopt,platforms,TRUE,
MS SQL,adopt,platforms,TRUE,
Swagger,adopt,platforms,TRUE,
Azure,adopt,platforms,TRUE,
Azure Service Bus,adopt,platforms,TRUE,
SEQ,adopt,platforms,TRUE,
.NET Standard,adopt,platforms,TRUE,
ASP.NET Core,adopt,platforms,TRUE,
MongoDB,adopt,platforms,TRUE,
xUnit,adopt,languages & frameworks,TRUE,
Angular,adopt,languages & frameworks,TRUE,
C#,adopt,languages & frameworks,TRUE,
NHibernate,adopt,languages & frameworks,TRUE,
Typescript,adopt,languages & frameworks,TRUE,
Autofac,adopt,languages & frameworks,TRUE,
Context Mapping,trial,techniques,TRUE,
Fitness Functions,trial,techniques,TRUE,
Rider,trial,tools,TRUE,
MS teams,trial,tools,TRUE,
YAML Pipelines,trial,tools,TRUE,
CosmosDB,trial,platforms,TRUE,
Docker,trial,platforms,TRUE,
DevOps Release Pipeline,trial,platforms,TRUE,
NgRx,trial,languages & frameworks,TRUE,
Event Storming,assess,techniques,TRUE,
Terraform,assess,tools,TRUE,
Redis,assess,platforms,TRUE,
Grafana,assess,platforms,TRUE,
Kubernetes,assess,platforms,TRUE,
.NET core Injection,assess,languages & frameworks,TRUE,
C# 8,assess,languages & frameworks,TRUE,
GraphQL,assess,languages & frameworks,TRUE,
CheckPoint in LiteDB,hold,techniques,TRUE,
TFVC,hold,tools,TRUE,
Windows 8,hold,tools,TRUE,
ASP.NET MVC,hold,platforms,TRUE,
.NET Framework,hold,platforms,TRUE,
VM,hold,platforms,TRUE,
MSTest,hold,languages & frameworks,TRUE,
Topshelf,hold,languages & frameworks,TRUE,
Code in plain JavaScript,hold,languages & frameworks,TRUE,
AngularJS,hold,languages & frameworks,TRUE,
Entity Framework,hold,languages & frameworks,TRUE,
